,Question,Question_type,Question_Subtype,Alpha,Number of Pairable Elements
0,T1.Q1,cl,T1.Q1.A1,0.20020374687041342,187
1,T1.Q1,cl,T1.Q1.A6,0.2000579273716594,187
2,T1.Q1,cl,T1.Q1.A3,0.20003877503877499,187
3,T1.Q1,cl,T1.Q1.A2,0.08176221517796922,187
4,T1.Q1,cl,T1.Q1.A5,-0.03910614525139655,187
5,T1.Q1,cl,T1.Q1.A4,0.13308364544319606,187
6,T1.Q2,cl,T1.Q2.A5,-0.06257378984651707,55
7,T1.Q2,cl,T1.Q2.A6,0.2940507768093975,55
8,T1.Q2,cl,T1.Q2.A2,0.1923076923076923,55
9,T1.Q2,cl,T1.Q2.A3,0.6785714285714286,55
10,T1.Q2,cl,T1.Q2.A1,-0.008000000000000007,55
11,T1.Q2,cl,T1.Q2.A4,,55
12,T1.Q7,mc,ordinal,0.2705936627538894,60
13,T1.Q9,mc,ordinal,0.06108836724025446,187
14,T1.Q10,mc,ordinal,-0.08114228526104328,187
15,T1.Q6,cl,T1.Q6.A9,0.27328843995510654,38
16,T1.Q6,cl,T1.Q6.A7,0.047794117647058876,38
17,T1.Q6,cl,T1.Q6.A5,-0.02777777777777768,38
18,T1.Q6,cl,T1.Q6.A6,0.0,38
19,T1.Q6,cl,T1.Q6.A8,0.7279411764705883,38
20,T1.Q6,cl,T1.Q6.A1,-0.009090909090909038,38
21,T1.Q6,cl,T1.Q6.A10,0.0,38
22,T1.Q6,cl,T1.Q6.A2,0.03645833333333337,38
23,T1.Q6,cl,T1.Q6.A4,0.4558823529411765,38
24,T1.Q6,cl,T1.Q6.A3,,38
25,T1.Q3,cl,T1.Q3.A7,0.052341597796143335,44
26,T1.Q3,cl,T1.Q3.A1,-0.04878048780487787,44
27,T1.Q3,cl,T1.Q3.A6,0.264957264957265,44
28,T1.Q3,cl,T1.Q3.A5,0.0,44
29,T1.Q3,cl,T1.Q3.A3,-0.023809523809523947,44
30,T1.Q3,cl,T1.Q3.A2,,44
31,T1.Q4,mc,nominal,,0
32,T1.Q5,mc,nominal,There has to be more than one value in the domain.,0
