,Question,Question_type,Question_Subtype,Alpha,Number of Pairable Elements
0,T1.Q12,mc,ordinal,0.09870650708435558,351
1,T1.Q14,mc,ordinal,-0.011517488028051304,351
2,T1.Q15,mc,ordinal,-0.034429055350072346,351
3,T1.Q1,cl,T1.Q1.A13,0.2629527308252234,349
4,T1.Q1,cl,T1.Q1.A11,-0.0019197929069740827,349
5,T1.Q1,cl,T1.Q1.A9,0.13761822660546952,349
6,T1.Q1,cl,T1.Q1.A3,0.05279263509352017,349
7,T1.Q1,cl,T1.Q1.A12,0.041152679474216414,349
8,T1.Q1,cl,T1.Q1.A2,0.24911047305028144,349
9,T1.Q1,cl,T1.Q1.A7,0.11317600786627324,349
10,T1.Q1,cl,T1.Q1.A10,-0.008695652173912993,349
11,T1.Q1,cl,T1.Q1.A4,0.12851078745815592,349
12,T1.Q1,cl,T1.Q1.A8,0.0820969337289813,349
13,T1.Q1,cl,T1.Q1.A1,0.26779501149971263,349
14,T1.Q1,cl,T1.Q1.A6,0.2940032183086,349
15,T1.Q1,cl,T1.Q1.A5,0.46189034211713165,349
16,T1.Q11,mc,ordinal,0.18465298142717512,39
17,T1.Q3,mc,ordinal,-0.019844488394021864,70
18,T1.Q13,mc,ordinal,-0.3613445378151261,7
19,T1.Q5,mc,ordinal,-0.008731766176122147,68
20,T1.Q6,cl,T1.Q6.A8,-0.046875,68
21,T1.Q6,cl,T1.Q6.A4,0.0448265726043503,68
22,T1.Q6,cl,T1.Q6.A3,0.22809174952032107,68
23,T1.Q6,cl,T1.Q6.A2,-0.15517241379310365,68
24,T1.Q6,cl,T1.Q6.A1,0.21484375,68
25,T1.Q6,cl,T1.Q6.A5,-0.0983606557377048,68
26,T1.Q6,cl,T1.Q6.A6,-0.015151515151515138,68
27,T1.Q6,cl,T1.Q6.A7,0.0,68
28,T1.Q2,mc,ordinal,0.3489692010369131,60
29,T1.Q9,mc,ordinal,0.6555511182108626,24
30,T1.Q10,mc,ordinal,-0.08563373460633739,24
